chr	start	end	state	cn	sample	score	n	mscore	ave.mprop	ave.gprop	winct.ratio	exp.winct	
1	23701	101300	0	0	test	170.343	258	0.660245	0.0945504	0.397349	0.558873	11.1034
1	113401	166700	3	3	test	81.3351	177	0.45952	0.0445085	0.440904	1.37811	8.85515
1	231901	241700	6	6	test	16.9885	32	0.53089	0.087375	0.426875	5.43116	8.85515
1	320401	451100	0	0	test	331.261	435	0.761519	0.00425747	0.422313	0.0114227	8.85515
1	528001	629800	5	5	test	238.125	335	0.710821	0.0611582	0.428185	3.46404	8.85515
1	654501	749800	3	3	test	263.227	317	0.830369	0.129104	0.445987	0.842583	51.6026
1	2583201	2693800	6	6	test	184.185	200	0.920923	0.22399	0.61704	2.51438	51.1399
1	12836901	13155100	3	3	test	422.436	892	0.473583	0.2362	0.454543	0.796638	87.3908
1	13155801	13166500	0	0	test	31.2014	35	0.891469	0.0971429	0.496514	0.48398	8.85515
1	13190001	13219900	4	4	test	43.8466	99	0.442895	0.0844646	0.469434	4.76125	8.85515
1	13480701	13630900	0	0	test	254.786	332	0.767427	0.0257349	0.466608	0.188781	8.85515
1	16832301	17205700	6	6	test	656.984	1068	0.615154	0.369659	0.475105	2.30813	109.375
1	24258501	24275800	0	0	test	48.651	57	0.853526	0.0446667	0.435228	0.239726	8.85515
1	24289401	24362500	1	1	test	123.798	243	0.509458	0.0644444	0.4433	0.63714	8.85515
1	30911601	30916300	6	6	test	8.8058	15	0.587054	0.0237333	0.3968	0.858592	11.1034
1	43581501	43584400	6	6	test	3.68464	9	0.409405	0.0122222	0.393778	0.850586	11.1034
1	71979201	71985100	6	6	test	14.815	19	0.779737	0.0269474	0.421789	0.903429	8.85515
1	72766101	72811900	0	0	test	151.152	152	0.994423	0.913632	0.356658	0.00541625	258.724
1	85978401	86006200	4	4	test	71.5867	92	0.778116	0.914413	0.386978	1.81274	258.724
1	86392701	86398600	6	6	test	10.0668	19	0.529829	0.0352632	0.423579	1.31354	8.85515
1	90214701	90217600	6	6	test	3.19077	9	0.35453	0.0182222	0.390222	0.720496	11.1034
1	93359001	93362800	6	6	test	5.8008	12	0.4834	0.0606667	0.388333	2.01889	11.1034
1	103934901	103977700	0	0	test	73.5926	142	0.518257	0.000521127	0.355282	0.00063424	11.1034
1	108769401	108814300	3	3	test	54.4113	149	0.365176	0.0332752	0.406416	1.2892	8.85515
1	110186901	110191300	0	0	test	13.3711	14	0.955081	0.856714	0.394857	0.0115629	216.208
1	120531801	120832900	3	3	test	471.165	835	0.564269	0.195964	0.403873	1.77049	51.6026
1	121108101	121148800	5	5	test	94.0925	135	0.696981	0.18843	0.4264	1.74352	51.6026
1	121351101	121425300	6	6	test	217.666	233	0.934189	0.141665	0.427433	2.06006	51.6026
1	121463201	142700900	6	6	test	495.565	598	0.828703	0.289779	0.410689	2.21907	87.3908
1	142729801	143432300	6	6	test	640.406	1503	0.426085	0.163343	0.404629	1.57772	51.6026
1	143441401	143497700	4	4	test	114.667	187	0.61319	0.138535	0.411134	1.16822	51.6026
1	143532001	143544500	6	6	test	17.4541	41	0.425711	0.302293	0.377073	1.94017	110.186
1	143685301	144077600	5	5	test	533.381	972	0.548746	0.131872	0.412475	1.40347	51.6026
1	144189301	144313700	6	6	test	111.889	246	0.454833	0.00970732	0.436317	0.28324	8.85515
1	144474601	144496100	1	1	test	40.1114	71	0.564949	0.0612113	0.448676	0.76028	8.85515
1	144526201	145382400	6	6	test	1224.02	2335	0.524206	0.408521	0.411746	2.33809	121.42
1	145887101	145962000	0	0	test	202.713	249	0.814108	0.00483534	0.414707	0.032654	8.85515
1	145977701	146022900	5	5	test	65.2152	150	0.434768	0.0457467	0.435747	2.01013	8.85515
1	146058401	146159700	0	0	test	325.651	337	0.966323	0.00586944	0.421139	0.0154146	8.85515
1	146227301	146231100	6	6	test	6.25292	12	0.521076	0.012	0.441167	0.159982	8.85515
1	146231501	146237400	0	0	test	9.88792	19	0.520417	0.0472632	0.426632	0.231801	8.85515
1	146464601	146484000	4	4	test	33.832	64	0.528625	0.218406	0.420937	1.03611	87.3908
1	147481901	147511800	6	6	test	65.7366	99	0.664006	0.00230303	0.451717	0.100381	8.85515
1	147529301	147551700	0	0	test	66.7759	74	0.902377	0.0695946	0.434162	0.33726	8.85515
1	147997901	148603500	3	3	test	647.781	1015	0.638208	0.0855507	0.424148	3.67424	8.85515
1	148654001	148751100	5	5	test	52.2186	154	0.339082	0.075	0.373325	2.53402	11.1034
1	148755101	148821000	0	0	test	156.395	219	0.714134	0.0408402	0.386712	0.382455	11.1034
1	149586801	149637400	1	1	test	80.5079	168	0.479214	0.0582381	0.416869	0.500784	8.85515
1	149646801	149774800	3	3	test	398.156	426	0.934639	0.225549	0.422038	0.93321	87.3908
1	152186301	152188900	6	6	test	6.04019	8	0.755023	0.1015	0.5835	2.40968	43.2112
1	152556501	152587000	1	1	test	92.7629	101	0.918445	0.95899	0.402515	0.47147	271.009
1	152760201	152770900	0	0	test	34.2945	35	0.979842	0.926114	0.392857	0.00662592	258.724
1	161411901	161425300	6	6	test	41.4447	44	0.941924	0.0188636	0.6265	4.97211	6.01079
1	161504001	161560300	3	3	test	168.366	187	0.900354	0.275241	0.433829	1.00116	87.3908
1	174599901	174602800	6	6	test	4.74038	9	0.526708	0.0295556	0.408444	1.43043	8.85515
1	174812901	174818200	6	6	test	10.4793	17	0.616428	0.0190588	0.412941	0.949929	8.85515
1	187715901	187722700	0	0	test	21.0059	22	0.954813	0.953091	0.383	0.0237178	258.724
1	189704601	189783700	1	1	test	258.988	263	0.984743	0.889772	0.342586	0.476938	216.208
1	192470601	192475300	6	6	test	7.7475	15	0.5165	0.0324	0.3976	1.37495	11.1034
1	194450301	194454400	0	0	test	11.7137	13	0.901057	0.761692	0.29	0.0217873	151.817
1	206076801	206191600	3	3	test	334.191	382	0.874844	0.139188	0.420728	0.832835	51.6026
1	206281101	206583700	3	3	test	261.113	506	0.516034	0.402727	0.421617	1.06322	121.42
1	217863801	217868800	6	6	test	12.4054	16	0.775337	0.010125	0.394125	0.410908	11.1034
